Expiration Date;Calls;Last Sale;Net;Bid;Ask;Vol;IV;Delta;Gamma;Open Int;Strike;Puts;Last Sale;Net;Bid;Ask;Vol;IV;Delta;Gamma;Open Int
11/08/2019;SPXW191108C01000000;2092.88;0;2080.3;2103.2;0;0.02;0.9997;0;70;1000.000;SPXW191108P01000000;0;0;0;4.8;0;34.1677;#FIELD!;0;0
11/08/2019;SPXW191108C01100000;0;0;1980.3;2003.2;0;0.02;0.9996;0;0;1100.000;SPXW191108P01100000;0;0;0;4.8;0;31.447;#FIELD!;0;0
11/08/2019;SPXW191108C01200000;0;0;1880.3;1903.2;0;0;0.9999;0;0;1200.000;SPXW191108P01200000;0;0;0;4.8;0;28.871;#FIELD!;0;0
11/08/2019;SPXW191108C01300000;0;0;1780.3;1803.2;0;0;0.9998;0;0;1300.000;SPXW191108P01300000;0;0;0;4.8;0;26.3443;#FIELD!;0;0
11/08/2019;SPXW191108C01400000;0;0;1680.3;1703.2;0;0;0.9986;0;0;1400.000;SPXW191108P01400000;0;0;0;4.8;0;24.2023;#FIELD!;0;0
11/08/2019;SPXW191108C01450000;0;0;1630.3;1653.2;0;0;0.9994;0;0;1450.000;SPXW191108P01450000;0.05;0;0;4.8;0;23.3108;#FIELD!;0;4
11/08/2019;SPXW191108C01500000;0;0;1580.3;1603.2;0;0;0.9992;0;0;1500.000;SPXW191108P01500000;0.1;0;0;4.8;0;22.1719;#FIELD!;0;11
11/08/2019;SPXW191108C01550000;0;0;1530.3;1553.2;0;0;0.9998;0;0;1550.000;SPXW191108P01550000;0.1;0;0;4.8;0;21.3529;#FIELD!;0;10
11/08/2019;SPXW191108C01600000;0;0;1480.3;1503.2;0;0;0.9998;0;0;1600.000;SPXW191108P01600000;0.1;0;0;4.8;0;20.3827;#FIELD!;0;54
11/08/2019;SPXW191108C01650000;0;0;1430.3;1453.2;0;0;0.9998;0;0;1650.000;SPXW191108P01650000;0.1;0;0;4.8;0;19.501;#FIELD!;0;9
11/08/2019;SPXW191108C01700000;0;0;1380.3;1403.2;0;0;0.9998;0;0;1700.000;SPXW191108P01700000;0.1;0;0;4.8;0;18.6055;#FIELD!;0;143
11/08/2019;SPXW191108C01750000;0;0;1330.3;1353.2;0;0;0.9998;0;0;1750.000;SPXW191108P01750000;0.05;0;0;4.8;0;17.7305;#FIELD!;0;12
11/08/2019;SPXW191108C01800000;0;0;1280.3;1303.2;0;0;0.9998;0;0;1800.000;SPXW191108P01800000;0.1;0;0;0.05;0;16.9462;#FIELD!;0;2522
11/08/2019;SPXW191108C01850000;0;0;1230.3;1253.2;0;0;0.999;0;0;1850.000;SPXW191108P01850000;0.05;0;0;0.05;0;16.001;#FIELD!;0;2119
11/08/2019;SPXW191108C01900000;0;0;1180.3;1203.2;0;0;0.999;0;0;1900.000;SPXW191108P01900000;0.1;0;0;0.05;0;15.2609;#FIELD!;0;20087
